ID,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,TotalGerminant_shoot_dry_g,Number_NonSG_germinants,FirstGermination_Day,NOTES
1,0,0,0,1,2,2,2,2,2,2,2,2,0.0018,0,4,
2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,biomass too light to weigh
3,0,0,0,0,0,0,1,1,1,1,1,1,NA,0,7,
4,0,0,0,1,1,1,1,1,1,1,1,1,0.0015,0,4,
5,0,0,0,0,0,2,2,2,2,2,2,2,0.0013,0,6,
6,0,0,0,0,0,1,1,1,1,1,1,1,0.0003,0,6,
7,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,
8,0,0,0,1,1,1,1,1,1,2,2,2,0.0012,0,4,
9,0,0,0,1,1,1,1,1,1,1,1,1,0.0003,0,4,
10,0,0,0,1,2,2,3,3,3,3,3,3,0.003,0,4,
11,0,0,0,1,1,1,1,1,1,1,1,1,0.0011,0,4,
12,0,0,0,0,1,1,1,1,1,1,1,1,0.0009,0,5,
13,0,0,0,0,2,2,2,2,2,2,2,2,0.0024,0,5,
14,0,0,0,2,3,3,3,3,3,4,4,4,0.003,0,4,
15,0,0,0,0,0,0,1,1,1,1,1,1,0.0009,0,7,
16,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,
17,0,0,0,1,1,2,3,3,3,3,3,3,0.0014,0,4,
18,0,0,0,0,0,1,1,1,1,1,1,1,0.0005,0,6,
19,0,0,0,0,1,1,1,2,2,2,2,2,0.0014,0,5,
20,0,0,0,0,0,1,1,1,1,1,1,1,0.0008,0,6,
21,0,0,0,1,1,1,1,1,1,1,1,1,0.0003,4,4,
22,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,0,
23,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,0,
24,0,0,0,0,0,0,0,0,0,1,1,1,0.0003,0,10,
25,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,0,
26,0,0,0,0,1,1,1,1,1,1,1,1,0.0002,2,5,
27,0,0,0,0,0,1,1,1,1,1,1,1,0.0009,4,6,
28,0,0,0,0,2,3,3,3,3,3,3,3,0.0015,1,5,
29,0,0,0,0,1,1,1,1,1,1,1,1,0.0008,3,5,
30,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,
31,0,0,0,1,1,1,1,1,1,2,2,2,0.0008,0,4,
32,0,0,0,1,1,1,1,1,1,1,1,1,0.0006,4,4,
33,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,
34,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,0,
35,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,0,
36,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,
37,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,0,
38,0,0,0,0,0,1,1,2,2,2,2,2,0.0009,2,6,
39,0,0,0,0,0,1,1,1,1,2,2,2,0.0006,2,6,
40,0,0,0,1,1,2,2,2,2,2,2,2,0.001,0,4,
